Ip,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10000.0,9858.943455105667,9938.051705089649,9963.099520101805,6175.8439235747865,9580.678451618991,8109.0500843492455,9455.877161615545,8574.311686276584,9973.409917753592,9622.96530746681,8945.746085996636,9881.893228404038,9197.60575010582,9722.677632431649,8858.371931898388,8586.117063068,9968.16296720172,9273.508929047415,9639.707993057293,9794.049726817253,9212.881860015319,9621.714099333964,9711.968649985025,9395.332325247038,9464.128689098288,9850.114286176222,9871.247809798864,8884.295853579548,9757.336741844712,9198.985078459304,9654.897337173963,7965.310354768011,9656.511514080006,8003.321260653339,9993.8337819195,9026.096618070971,9886.144253050086,8761.062051000263,8941.071380382002,9434.969679846252,7249.6915287101065,9314.955763166994,8615.156478378562,8437.89011856986,9725.598590034027,8728.337743886383,8839.969010869056,9604.270913834303,8855.435731712496,9407.706057143412
20000.0,19714.249670764708,19874.633781724213,19925.78806285699,12303.995611389397,19160.658120694497,16173.127487598927,18920.55046013309,17114.204576730812,19946.215669007488,19254.29148715273,17884.105163966615,19761.731312194686,18395.508022350143,19438.28017248857,17694.958911274527,17206.489564009524,19935.633749374192,18529.964984391634,19279.381878037275,19588.423938865206,18444.497199468053,19233.79144946364,19421.183990080142,18777.96294348211,18933.018377414373,19696.794156148324,19744.520462847267,17771.917368621373,19513.763263507863,18377.88369016975,19312.73810114312,15905.660382816834,19318.161836603114,15969.153100827714,19987.732326607387,18030.51892969147,19769.87694326588,17551.072684574723,17876.70295066252,18873.209583284344,14561.513271370928,18613.92421428176,17244.95489755255,16895.296238288276,19455.59819636913,17467.132809381088,17660.127065875196,19200.478999613966,17741.0223913382,18821.271592377103
30000.0,29566.04943767638,29809.84650869359,29888.165167070936,18382.48042667349,28739.364079479463,24193.29192146812,28395.292613551206,25620.83284372076,29918.40926943481,28893.755323907026,26813.86164028912,29639.787662033068,27592.662508984704,29147.081976558216,26509.157301056268,25860.9884244692,29902.47375905819,27770.36090681633,28918.519496159053,29382.828130447084,27694.601695747842,28836.579010047208,29127.29145718285,28147.63555128127,28405.987234867418,29540.00205647582,29619.67494719062,26665.617225014248,29269.960441067167,27537.293375239686,28973.06632156,23824.813913716112,28984.572139168486,23896.66068763982,29981.687393743687,27013.07799535812,29651.142124503687,26371.85105334651,26809.478898502544,28316.226387646915,21935.38625149109,27896.857195040517,25887.935219510062,25375.507152493487,29190.672547743983,26214.942456947632,26459.678184161065,28789.3907980431,26657.19794341344,28239.96499431312
40000.0,39414.49186143278,39743.79763925068,39850.33240595041,24409.42692352044,38316.2275062037,32170.731430653217,37881.33904163732,34095.465239798905,39889.985948511465,38541.095466343184,35733.836506268904,39516.345810321116,36788.02824737397,38849.39161393065,35300.45399357452,34549.361039723,39868.747942139096,36995.760117507445,38556.62127479623,39176.96764508574,36962.87229715578,38430.469056852206,38829.951774797526,37504.153339567834,37882.334404469286,39379.71820908998,39496.558897124734,35568.14019047253,39026.613248495065,36677.895181991706,38635.41400791088,31726.593610098804,38655.340793847834,31785.132419769467,39975.69045387524,35973.675821583536,39529.89654601719,35225.1192631261,35742.004500733485,37765.51339809089,29371.07941944665,37163.77834266176,34542.584935201965,33881.764028963,38931.47458610254,34970.28713457128,35237.910061558694,38371.80954232271,35604.28681132612,37663.03099546868
50000.0,49259.74412673091,49676.602153276035,49812.393102157774,30383.067092140966,47890.68842339759,40106.75901164603,47379.88514937664,42539.48241531745,49860.94423726355,48196.01387373594,44642.89229211088,49391.69867686247,45980.572276857594,48545.551323356434,44068.42835914153,43271.23128714927,49834.52461327236,46207.29468066342,48193.19266113834,48970.549142375996,46248.90872196542,48015.89850793215,48528.84271397128,46847.38030419036,47361.34328477861,49215.94097789205,49375.01139554994,44482.22002196598,48784.409036934296,45800.452386666504,48299.30344126597,39614.88106985844,48330.04537073068,39633.98048240032,49969.732733887126,44912.306093727326,49406.110050163836,44112.49859035128,44676.90309751997,47222.54752316811,36868.205202291385,46414.78363999796,43207.34492324973,42417.25760950386,48678.63483197199,43731.65645409179,43994.19675261732,47948.57341290623,44582.49864095487,47089.69417380312
60000.0,59101.99120092473,59608.3819813262,59774.4520348233,36301.736040105,57462.198397280576,48002.809370105,56892.083621456,50954.37430011859,59831.286033225726,57858.17737386107,53539.937824865505,59266.14780464576,55169.27425792367,58235.93637616144,52812.753869356464,52026.0998982867,59799.87527920532,55406.16320693286,57827.746524139766,58763.282057656026,55552.235205680925,57593.34813440244,58223.66076333577,56177.2423648629,56842.28487704461,59048.68717270791,59254.86380326586,53410.576276189866,58544.03580418063,54905.809108116446,57964.24948346245,47493.61735541657,58008.2447047754,47442.74098306517,59963.805261614885,53829.054655673026,59279.765915812684,53035.50556140477,53616.81307636661,56688.786234198255,44426.21537749887,55650.041766004884,51880.6155460377,50985.12503198468,58432.75978494709,52497.51532718845,52728.00103099109,57520.5537154738,53591.92728084963,56519.16253504631
70000.0,68941.43548619952,69539.2657075509,69736.6151418944,42163.87113794763,67030.22319127599,55860.43586460362,66419.04173232055,59341.73759154484,69801.01665436036,67527.21934668742,62423.93277345165,69140.00257136856,64353.13103351755,67920.9543580388,61533.19942773746,60813.34522779115,69764.87445170412,64593.62872009113,67459.80552794457,68554.88005138846,64872.30251788674,67163.34167595288,67914.12273161263,65493.72829917889,66324.42118418087,68877.9922953588,69135.94061498204,62355.91100366202,68306.18045805559,63994.888832984325,67629.76191546187,55366.803931063965,67689.48103326022,55211.07372711394,69957.89891125643,62724.09976609112,69150.86115853298,61995.547914420575,62564.38484657034,66165.66450750489,52044.39734869912,64869.794266003926,60560.7629636868,59588.44624699992,68194.43036613034,61266.310232188574,61438.8764382964,67088.65300727595,62632.550017084875,65950.63116604315
80000.0,78778.29642348876,79469.38825366883,79698.98922013813,47968.01065706291,76594.24536592088,63681.30767244341,75961.81867789682,67703.2733732112,79770.14488373366,77202.74153147696,71293.89196627127,79013.57938029931,73531.16111391937,77601.04437499496,70229.63042427477,69632.22445145392,79729.59945276684,73771.01649647891,77088.90446920137,78345.0624452814,74208.49025417793,76726.44486712647,77599.96727966618,74796.89049861146,75807.00864956423,78703.91072911027,79018.06034098445,71320.90530119419,78071.52707778236,73068.6928668646,77295.34779698384,63238.503974763065,77373.28219897927,62938.76167205737,79952.00445106902,71597.71215117887,79019.40678842562,70993.92046951668,71522.27778128801,75654.59174869292,59721.8709020896,74074.3555535768,69246.12563640857,68230.24000243822,77964.20040895174,70036.47558141283,70126.46903323584,76653.80317638608,71704.22709710816,75383.28594531056
90000.0,88612.81004546373,89398.89054108511,89661.68161973289,53712.79192787699,86153.76681118061,71467.20720628343,85521.42292977135,76040.78488230844,89738.68300064551,86884.31594904691,80148.88946441228,88887.2008282702,82702.40906179944,87276.67618224173,78902.00952771108,78481.87521701951,89694.13020839398,82939.71187827263,86714.59256579273,88133.55563572854,83560.10940143174,86283.2643752666,87280.95637335887,84086.84554841257,85289.30161719256,88526.5158676227,88901.0364074532,80308.21569344397,87840.75517120246,82128.29872032042,86960.51383472103,71112.84402451702,87059.1639066408,70625.71009668085,89946.11258925164,80450.25486805574,88885.4280211806,80031.80093114005,80493.15709736956,85156.9486928691,67457.58551751982,83264.11275096824,77935.02097770774,76913.45936612482,87742.5951972877,78806.44015141175,78790.51884991612,86216.96347210997,80806.70156955812,84816.30729138914
